,params,mean_test_f1,mean_test_recall,mean_test_precision
0,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",0.44799533799533797,0.4626373626373626,0.4458244026355482
1,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",0.42573560278684186,0.4450549450549451,0.4210606060606061
2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'best'}",0.46131549609810485,0.44835164835164837,0.4848640248640249
3,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'random'}",0.39910600255427847,0.41428571428571426,0.38636363636363635
4,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",0.4648809523809524,0.4769230769230769,0.46424242424242423
5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",0.4486842894342303,0.4197802197802198,0.5152777777777778
6,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'splitter': 'best'}",0.453023915392731,0.44835164835164837,0.467081807081807
7,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'splitter': 'random'}",0.39990231829057005,0.4153846153846154,0.40444444444444444
8,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'splitter': 'best'}",0.44223857302118175,0.43186813186813183,0.46239316239316236
9,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'splitter': 'random'}",0.3834636857395478,0.35934065934065934,0.4225
10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 7, 'splitter': 'best'}",0.45485120687519487,0.4472527472527473,0.4716239316239316
11,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 7, 'splitter': 'random'}",0.37227250169185655,0.35604395604395606,0.3963458110516934
12,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'splitter': 'best'}",0.420175645855159,0.4461538461538462,0.40526806526806525
13,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'splitter': 'random'}",0.368851054403686,0.35714285714285715,0.40686214370424895
14,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'splitter': 'best'}",0.4453353814644137,0.46153846153846156,0.4348866819455054
15,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'splitter': 'random'}",0.3894230769230769,0.3989010989010989,0.38461538461538464
16,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'splitter': 'best'}",0.4335014005602241,0.46153846153846156,0.41614718614718615
17,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'splitter': 'random'}",0.33902763902763905,0.31208791208791203,0.3945299145299145
18,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 11, 'splitter': 'best'}",0.4092074592074592,0.4175824175824176,0.4099479467900521
19,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 11, 'splitter': 'random'}",0.3800017284590787,0.36923076923076925,0.41174242424242424
20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'splitter': 'best'}",0.41793362193362193,0.4329670329670329,0.41034404192298923
21,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'splitter': 'random'}",0.30739393939393944,0.28791208791208794,0.34929971988795516
22,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 13, 'splitter': 'best'}",0.4284784784784785,0.4604395604395604,0.415527950310559
23,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 13, 'splitter': 'random'}",0.37052476794412276,0.35494505494505496,0.4048373195432019
24,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 14, 'splitter': 'best'}",0.4398827838827839,0.4604395604395604,0.43106893106893107
25,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 14, 'splitter': 'random'}",0.3280929596719071,0.29780219780219774,0.41920634920634925
26,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 15, 'splitter': 'best'}",0.4486687147977471,0.46153846153846156,0.4439775910364146
