,params,mean_test_f1,mean_test_recall,mean_test_precision
0,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
1,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': True, 'solver': 'sgd'}",0.33887168902648784,0.2483516483516483,0.6
2,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
3,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
4,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': False, 'solver': 'sgd'}",0.3625386996904025,0.2626373626373626,0.6733333333333333
5,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': False, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
6,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
7,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': True, 'solver': 'sgd'}",0.32745098039215687,0.23296703296703294,0.6466666666666667
8,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
9,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': False, 'solver': 'lbfgs'}",0.30162404092071615,0.21978021978021975,0.5650793650793651
10,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': False, 'solver': 'sgd'}",0.3625386996904025,0.2626373626373626,0.6733333333333333
11,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': False, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
12,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
13,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': True, 'solver': 'sgd'}",0.32511179910560717,0.23296703296703294,0.6266666666666666
14,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': True, 'solver': 'adam'}",0.35332198142414856,0.2626373626373626,0.6424242424242423
15,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
16,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': False, 'solver': 'sgd'}",0.3567664258685931,0.2626373626373626,0.62
17,"{'activation': 'identity', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': False, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
18,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
19,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': True, 'solver': 'sgd'}",0.2611171097052484,0.5384615384615385,0.19421824344238137
20,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
21,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
22,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': False, 'solver': 'sgd'}",0.24376200887828797,0.4659340659340659,0.17184088514225504
23,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': False, 'solver': 'adam'}",0.37938080495356036,0.2769230769230769,0.6866666666666666
24,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
25,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': True, 'solver': 'sgd'}",0.19467565467565467,0.4197802197802198,0.14780518659076536
26,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
27,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': False, 'solver': 'lbfgs'}",0.30162404092071615,0.21978021978021975,0.5650793650793651
28,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': False, 'solver': 'sgd'}",0.3116079417369073,0.46263736263736266,0.26201001362291687
29,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': False, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
30,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
31,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': True, 'solver': 'sgd'}",0.26760956282522486,0.5340659340659341,0.2035221537654847
32,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
33,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
34,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': False, 'solver': 'sgd'}",0.25628945303927847,0.510989010989011,0.21049713836830883
35,"{'activation': 'identity', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': False, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
36,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': True, 'solver': 'lbfgs'}",0.30162404092071615,0.21978021978021975,0.5650793650793651
37,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': True, 'solver': 'sgd'}",0.32745098039215687,0.23296703296703294,0.6466666666666667
38,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
39,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
40,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': False, 'solver': 'sgd'}",0.34382524939800485,0.2483516483516483,0.6533333333333333
41,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': False, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
42,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': True, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
43,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': True, 'solver': 'sgd'}",0.3461644306845545,0.2472527472527472,0.6666666666666666
44,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': True, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
45,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
46,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': False, 'solver': 'sgd'}",0.3749886480908152,0.27692307692307694,0.6590909090909091
47,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': False, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
48,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': True, 'solver': 'lbfgs'}",0.30162404092071615,0.21978021978021975,0.5650793650793651
49,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': True, 'solver': 'sgd'}",0.3625386996904025,0.2626373626373626,0.6733333333333333
50,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': True, 'solver': 'adam'}",0.35732198142414856,0.2626373626373626,0.6533333333333333
51,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': False, 'solver': 'lbfgs'}",0.2866042780748663,0.20549450549450549,0.5511904761904762
52,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': False, 'solver': 'sgd'}",0.3625386996904025,0.2626373626373626,0.6733333333333333
53,"{'activation': 'identity', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': False, 'solver': 'adam'}",0.34047987616099074,0.2483516483516483,0.64
54,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': True, 'solver': 'lbfgs'}",0.4210552788122068,0.4208791208791209,0.43051693404634583
55,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
56,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': True, 'solver': 'adam'}",0.3689569020590692,0.2769230769230769,0.6233766233766234
57,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': False, 'solver': 'lbfgs'}",0.366873500506039,0.36483516483516476,0.3772534654887596
58,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
59,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 200, 'shuffle': False, 'solver': 'adam'}",0.3689569020590692,0.2769230769230769,0.6233766233766234
60,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': True, 'solver': 'lbfgs'}",0.40853703703703703,0.4219780219780219,0.40050505050505053
61,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
62,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': True, 'solver': 'adam'}",0.358671187773355,0.2769230769230769,0.6
63,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': False, 'solver': 'lbfgs'}",0.39904479578392626,0.40659340659340665,0.4071345029239766
64,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
65,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 400, 'shuffle': False, 'solver': 'adam'}",0.3689569020590692,0.2769230769230769,0.6233766233766234
66,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': True, 'solver': 'lbfgs'}",0.3863287586975743,0.36483516483516487,0.41921717171717165
67,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': True, 'solver': 'sgd'}",0.026666666666666665,0.014285714285714285,0.2
68,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': True, 'solver': 'adam'}",0.3689569020590692,0.2769230769230769,0.6233766233766234
69,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': False, 'solver': 'lbfgs'}",0.34777538829151733,0.332967032967033,0.36884683943507474
70,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
71,"{'activation': 'logistic', 'learning_rate': 'constant', 'max_iter': 700, 'shuffle': False, 'solver': 'adam'}",0.3583825874847547,0.2769230769230769,0.5923076923076923
72,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': True, 'solver': 'lbfgs'}",0.3652138216605983,0.36263736263736257,0.37916305916305915
73,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
74,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': True, 'solver': 'adam'}",0.3654936985958658,0.2769230769230769,0.6090909090909091
75,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': False, 'solver': 'lbfgs'}",0.44372998805256864,0.43516483516483523,0.4592760180995475
76,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': False, 'solver': 'sgd'}",0.07851851851851852,0.21428571428571427,0.22978723404255322
77,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 200, 'shuffle': False, 'solver': 'adam'}",0.3654936985958658,0.2769230769230769,0.6090909090909091
78,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': True, 'solver': 'lbfgs'}",0.4376346801346801,0.46263736263736266,0.42486424394319133
79,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
80,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': True, 'solver': 'adam'}",0.3618013909035581,0.2769230769230769,0.6
81,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': False, 'solver': 'lbfgs'}",0.3600880600880601,0.3626373626373626,0.3679197994987469
82,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
83,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 400, 'shuffle': False, 'solver': 'adam'}",0.3654936985958658,0.2769230769230769,0.6090909090909091
84,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': True, 'solver': 'lbfgs'}",0.4565114942528735,0.46263736263736266,0.457550505050505
85,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
86,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': True, 'solver': 'adam'}",0.3600014364720247,0.2769230769230769,0.5904761904761905
87,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': False, 'solver': 'lbfgs'}",0.40920310153046724,0.39230769230769236,0.4394505494505495
88,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
89,"{'activation': 'logistic', 'learning_rate': 'invscaling', 'max_iter': 700, 'shuffle': False, 'solver': 'adam'}",0.3654936985958658,0.2769230769230769,0.6090909090909091
90,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': True, 'solver': 'lbfgs'}",0.3816361416361416,0.34945054945054943,0.443543956043956
91,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
92,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': True, 'solver': 'adam'}",0.3654936985958658,0.2769230769230769,0.6090909090909091
93,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': False, 'solver': 'lbfgs'}",0.4111464019851116,0.4043956043956044,0.427843137254902
94,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
95,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 200, 'shuffle': False, 'solver': 'adam'}",0.3654936985958658,0.2769230769230769,0.6090909090909091
96,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': True, 'solver': 'lbfgs'}",0.40084063540077464,0.3901098901098901,0.42745098039215684
97,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': True, 'solver': 'sgd'}",0.0,0.0,0.0
98,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': True, 'solver': 'adam'}",0.358671187773355,0.2769230769230769,0.6
99,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': False, 'solver': 'lbfgs'}",0.46019318072056414,0.4945054945054945,0.45932957393483703
100,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': False, 'solver': 'sgd'}",0.0,0.0,0.0
101,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 400, 'shuffle': False, 'solver': 'adam'}",0.3689569020590692,0.2769230769230769,0.6233766233766234
102,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': True, 'solver': 'lbfgs'}",0.3890712250712251,0.3626373626373626,0.42441225441225444
103,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': True, 'solver': 'sgd'}",0.026666666666666665,0.014285714285714285,0.2
104,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': True, 'solver': 'adam'}",0.36526459436676156,0.2769230769230769,0.6142857142857143
105,"{'activation': 'logistic', 'learning_rate': 'adaptive', 'max_iter': 700, 'shuffle': False, 'solver': 'lbfgs'}",0.3694822674133019,0.378021978021978,0.36315018315018316
