,params,mean_test_f1,mean_test_recall,mean_test_precision
0,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 100}",0.43702630702630707,0.3333333333333333,0.6675036075036076
1,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 150}",0.39952633179177804,0.30666666666666664,0.5948051948051949
2,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 200}",0.4261471861471862,0.32,0.6561904761904762
3,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 300}",0.419604743083004,0.32,0.6228571428571429
4,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 100}",0.41261636913810823,0.32,0.5936147186147186
5,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 150}",0.41885013537187454,0.32,0.6307575757575757
6,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 200}",0.39988344988344987,0.30666666666666664,0.6075036075036074
7,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 300}",0.4366666666666667,0.33333333333333337,0.6498412698412699
8,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 100}",0.4176891224717312,0.32,0.6314646464646465
9,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 150}",0.42071146245059293,0.32,0.6214285714285714
10,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 200}",0.43512154512154516,0.3333333333333333,0.6541702741702742
11,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 300}",0.3848077170731633,0.29333333333333333,0.5852813852813853
12,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.4296003513394818,0.3333333333333333,0.6214285714285714
13,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.43896103896103894,0.3333333333333333,0.6523809523809524
14,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.39488097714642334,0.29333333333333333,0.6206349206349207
15,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.4198834498834499,0.32,0.6475036075036075
16,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 100}",0.40540045766590393,0.30666666666666664,0.6142857142857143
17,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 150}",0.3810414833069296,0.29333333333333333,0.5802020202020202
18,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 200}",0.4126275174101261,0.32,0.590079365079365
19,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 300}",0.4399455616846922,0.3333333333333333,0.6686147186147187
20,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.41543133195307114,0.32,0.6216666666666667
21,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 150}",0.41847370021283065,0.32,0.6248051948051948
22,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 200}",0.40170727822901736,0.30666666666666664,0.6107575757575757
23,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 300}",0.41049501223414275,0.30666666666666664,0.6395238095238096
24,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.41885013537187454,0.32,0.6307575757575757
25,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 150}",0.44149068322981366,0.3333333333333333,0.6642857142857144
26,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.39847370021283063,0.30666666666666664,0.5848051948051948
27,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.4042612460003764,0.30666666666666664,0.6023809523809524
28,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 3, 'n_estimators': 100}",0.4293333333333334,0.3333333333333333,0.62
29,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 3, 'n_estimators': 150}",0.3895426312817617,0.29333333333333333,0.5928571428571427
30,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 3, 'n_estimators': 200}",0.40118432292345335,0.30666666666666664,0.5932900432900433
31,"{'bootstrap': True, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_split': 3, 'n_estimators': 300}",0.4065424430641822,0.30666666666666664,0.6216666666666667
