,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
0,Base64VLQTest,6,0,17,0,11,2,1,0,1,23.667,6,0.25
1,SourceMapTestCase,17,3,73,0,23,7,1,1,5,11.647,19,0.915
2,Base64Test,3,0,16,0,5,1,0,0,1,12.667,6,0.778
3,SourceMapGeneratorV1Test,18,0,39,0,4,0,0,1,1,18.667,4,0.333
4,SourceMapConsumerV1Test,16,0,235,0,31,1,0,0,0,20.938,0,0.0
5,SourceMapConsumerV2Test,8,0,80,0,20,0,0,0,0,20.25,0,0.0
6,SourceMapGeneratorV3Test,25,0,105,0,10,2,0,1,1,18.52,6,0.121
7,SourceMapGeneratorV2Test,21,0,112,0,18,0,0,1,1,18.0,4,0.133
8,JsonMLConversionTest,40,0,384,0,45,0,0,1,1,12.675,15,0.053
9,SecureCompilerTest,5,2,19,0,4,0,0,0,1,13.6,11,1.5
10,JsonMLValidationTest,42,0,179,0,6,1,0,0,1,22.048,12,0.11
11,GraphTest,18,0,352,0,38,2,0,0,1,20.333,6,0.045
12,GraphPrunerTest,5,0,91,0,12,0,0,0,1,23.4,6,0.149
13,GraphReachabilityTest,3,2,40,0,37,0,0,0,1,14.333,4,0.205
14,GraphColoringTest,8,0,120,0,21,4,0,2,2,17.25,13,0.25
15,StandardUnionFindTest,16,1,199,0,19,0,0,0,3,14.812,31,0.54
16,CompileEachLineOfProgramOutput,3,2,25,0,33,4,1,1,0,5.333,0,0.0
17,CharRangesTest,7,1,132,0,19,5,0,0,0,18.857,0,0.0
18,JsFunctionParserTest,6,4,78,0,14,0,0,0,2,14.667,17,0.889
19,SortedDependenciesTest,9,0,103,0,11,0,0,1,1,10.444,10,0.462
20,JsFileParserTest,11,4,56,0,3,0,0,0,3,14.727,16,2.867
21,DepsFileParserTest,6,4,34,0,3,0,0,0,2,13.5,25,3.0
22,JsFileLineParserTest,12,2,24,0,2,0,0,0,1,13.167,10,0.929
23,JsDocInfoParserTest,421,3,1861,0,17,4,0,2,5,20.183,81,0.496
24,IRFactoryTest,64,6,483,0,16,1,0,1,1,16.578,3,0.029
25,ParserTest,111,7,730,0,46,1,1,1,2,23.649,23,0.143
26,JsDocTokenStreamTest,22,0,153,0,11,3,0,0,1,22.455,4,0.075
27,LinkedFlowScopeTest,15,7,219,0,18,4,0,1,4,12.0,17,0.567
28,RuntimeTypeCheckTest,24,0,49,0,2,0,0,1,1,16.5,4,0.308
29,FunctionTypeBuilderTest,9,0,25,0,4,1,0,1,1,26.889,5,0.75
30,OptimizeCallsTest,4,0,11,0,6,0,0,1,1,35.0,6,1.111
31,PeepholeSubstituteAlternateSyntaxTest,59,2,487,0,42,1,0,1,4,19.542,17,0.098
32,MemoizedScopeCreatorTest,2,0,12,0,6,0,0,0,1,18.0,30,3.667
33,SimpleFunctionAliasAnalysisTest,7,2,44,0,27,0,0,1,1,21.857,10,0.277
34,NameAnonymousFunctionsTest,15,1,31,0,3,0,0,1,1,25.933,5,0.529
35,CompilerOptionsTest,2,0,19,0,8,0,0,0,1,13.5,10,1.333
36,FunctionArgumentInjectorTest,45,1,187,0,17,5,0,3,1,29.844,9,0.125
37,ControlStructureCheckTest,24,4,47,0,3,0,0,1,1,20.167,6,0.385
38,PeepholeIntegrationTest,42,1,168,0,14,0,0,1,4,20.833,8,0.248
39,ObjectPropertyStringPreprocessTest,9,0,12,0,1,0,0,1,1,18.333,4,0.889
40,AliasStringsTest,16,5,62,0,9,1,0,1,1,17.5,4,0.136
41,SpecializeModuleTest,14,4,41,0,3,0,0,1,1,35.0,10,0.722
42,JsMessageExtractorTest,13,0,150,0,7,0,0,2,1,21.692,5,0.2
43,NameAnalyzerTest,336,1,669,0,2,0,0,1,3,22.06,18,0.156
44,TypeValidatorTest,9,1,44,0,2,0,0,1,1,15.889,9,0.733
45,SideEffectsAnalysisTest,17,5,81,0,16,1,0,1,1,21.824,10,0.171
46,MoveFunctionDeclarationsTest,5,0,10,0,2,0,0,1,1,25.0,4,1.333
47,AliasExternalsTest,28,5,84,0,12,0,0,1,12,22.607,23,3.113
48,XtbMessageBundleTest,1,2,17,0,8,0,0,0,1,4.0,3,0.875
49,CheckGlobalNamesTest,47,4,111,0,6,1,0,2,1,26.745,11,0.203
50,NodeTraversalTest,7,0,66,0,9,0,1,1,1,20.0,4,0.212
51,CombinedCompilerPassTest,6,1,61,0,13,2,0,1,2,15.5,53,1.838
52,FunctionRewriterTest,20,5,47,0,10,2,0,1,1,19.4,4,0.216
